PGM_SYS_ID,ACTIVITY_ID,AGENCY_TYPE_DESC,STATE_CODE,AIR_LCON_CODE,COMP_DETERMINATION_UID,ENF_RESPONSE_POLICY_CODE,PROGRAM_CODES,PROGRAM_DESCS,POLLUTANT_CODES,POLLUTANT_DESCS,EARLIEST_FRV_DETERM_DATE,HPV_DAYZERO_DATE,HPV_RESOLVED_DATE,DSCV_PATHWAY_DATE,NFTC_PATHWAY_DATE
CT0000000900308899,3603697029,State,CT,,CT000A102337,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,06-20-2023,,,,
IL000119813AAI,3603596439,State,IL,,IL000AA-2022-00162,FRV,CAASIP CAATVP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000319 300000320,PARTICULATE MATTER < 10 UM PARTICULATE MATTER < 2.5 UM,02-08-2023,,,,05-09-2023
IN0000001803900097,3603489144,State,IN,,IN000A98533,FRV,CAATVP,Title V Permits,300000329,FACIL,01-25-2023,,,,
IN0000001803300043,3603672177,State,IN,,IN000A101809,HPV,CAATVP,Title V Permits,300000036,Mercury,05-22-2023,08-20-2023,,,
IN0000001801900008,3603553551,State,IN,,IN000A99607,HPV,CAAMACT,MACT Standards (40 CFR Part 63),300000036,Mercury,01-02-2023,01-02-2023,12-27-2024,,10-25-2024
IN0000001801900008,3603600032,State,IN,,IN000A100520,FRV,CAATVP,Title V Permits,5409,Total hazardous air pollutants,04-12-2023,,,,
IN0000001801900008,3603770579,State,IN,,IN000A103507,HPV,CAANESH,National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61),300000036,Mercury,04-28-2023,07-27-2023,12-27-2024,,10-25-2024
IN0000001817300007,3603672188,State,IN,,IN000A101811,HPV,CAAMACT,MACT Standards (40 CFR Part 63),300000036,Mercury,03-08-2023,06-06-2023,,,
IN0000001817300007,3604404026,State,IN,,IN000A127792,HPV,CAAMACT,MACT Standards (40 CFR Part 63),300000004,Fluoride,07-27-2023,07-27-2023,,,
IN0000001812700085,3603702814,State,IN,,IN000A102513,HPV,CAATVP,Title V Permits,300000018,Hydrochloric acid,05-25-2023,08-23-2023,,07-10-2023,
IN0000001812700085,3603865992,State,IN,,IN000A109802,HPV,CAATVP,Title V Permits,2092 300000018,HYDROGEN CHLORIDE Hydrochloric acid,12-13-2023,03-12-2024,,01-22-2024,
MA0000002511905127,3603488563,State,MA,,MA000A98519,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,01-31-2023,,03-27-2024,05-09-2022,
NC0000003704100421,3603591126,State,NC,,NC000A0000370410042100078,FRV,CAAGACTM,40 CFR Part 63 Area Sources,300000242,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),04-19-2023,,05-04-2023,,
NC0000003704100421,3603770021,State,NC,,NC000A0000370410042100081,FRV,CAAGACTM,40 CFR Part 63 Area Sources,300000242,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),04-19-2023,,12-13-2023,,
NJ0000003402300269,3603559817,State,NJ,,NJ000A99784,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,01-20-2023,,,,
NJ0000003402300269,3603751997,State,NJ,,NJ000A103263,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,09-20-2023,,,,
NJ0000003402300038,3604399670,State,NJ,,NJ000A127679,FRV,CAASIP CAATVP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,,,11-24-2023,,,,
NJ0000003402725201,3603901824,State,NJ,,NJ000A110955,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,12-12-2023,,,,
OK0000004012300003,3603781497,State,OK,,OK000A4012300003EC0012380,FRV,CAAMACT CAATVP,MACT Standards (40 CFR Part 63) Title V Permits,300000242 300000329,FACIL TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),09-27-2023,,02-06-2025,,
TNSHL0004715700475,3603547861,Local,TN,SHL,TNSHLA99511,HPV,CAATVP,Title V Permits,300000176,Hydrogen cyanide,04-25-2023,04-25-2023,05-18-2023,03-02-2023,03-20-2023
TNSHL0004715700475,3603753776,Local,TN,SHL,TNSHLA103320,HPV,CAATVP,Title V Permits,300000242,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),10-06-2023,10-06-2023,02-22-2024,10-06-2023,10-06-2023
TX0000004836100007,3603826303,State,TX,,TX000A0892341582023347001,FRV,CAATVP,Title V Permits,300000329,FACIL,11-30-2023,,04-14-2025,11-30-2023,
WI0000005507900017,3603546062,State,WI,,WI000A0000550790001700687,FRV,CAAPSD,Prevention of Significant Deterioration of Air Quality,10373,Particulate matter - PM10,02-01-2023,,,02-01-2023,02-23-2023
AR0000000513900012,3603846241,State,AR,,AR000A108232,HPV,CAATVP,Title V Permits,300000329,FACIL,06-26-2023,06-26-2023,06-04-2024,06-26-2023,09-26-2023
AL0000000110300026,3603597444,State,AL,,AL000A100437,FRV,CAAPSD,Prevention of Significant Deterioration of Air Quality,300000243,VOLATILE ORGANIC COMPOUNDS (VOCS),04-13-2023,,07-10-2023,01-30-2023,04-13-2023
AL0000000103300007,3603663775,State,AL,,AL000A101653,FRV,CAAMACT CAAPSD,MACT Standards (40 CFR Part 63) Prevention of Significant Deterioration of Air Quality,300000243 300000328,ADMIN VOLATILE ORGANIC COMPOUNDS (VOCS),06-08-2023,,02-26-2024,10-03-2022,06-08-2023
AL0000000103300007,3603784922,State,AL,,AL000A104064,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000328,ADMIN,10-02-2023,,12-08-2023,09-11-2023,10-03-2023
AK0000000201600009,3603834300,State,AK,,AK000A0000HPV7095,FRV,CAATVP,Title V Permits,,,12-20-2023,,,12-15-2023,12-21-2023
CASJV00006029S0036,3603640044,Local,CA,SJV,CASJVA2000000000000004761,HPV,CAATVP,Title V Permits,300000329,FACIL,04-26-2023,04-26-2023,02-18-2026,,05-15-2023
CASJV00006029S0036,3603725791,Local,CA,SJV,CASJVA2000000000000004894,HPV,CAATVP,Title V Permits,300000329,FACIL,06-20-2023,06-20-2023,12-27-2023,,07-03-2023
CASJV00006029S0036,3603884367,Local,CA,SJV,CASJVA2000000000000005081,HPV,CAATVP,Title V Permits,300000329,FACIL,09-06-2023,09-06-2023,02-18-2026,,09-12-2023
CASJV00006029S0036,3603894849,Local,CA,SJV,CASJVA2000000000000005106,HPV,CAATVP,Title V Permits,300000329,FACIL,08-04-2023,08-04-2023,07-18-2024,,09-15-2023
CASJV00006029S0036,3603894850,Local,CA,SJV,CASJVA2000000000000005105,HPV,CAATVP,Title V Permits,300000329,FACIL,08-28-2023,08-28-2023,,,09-15-2023
CO0000000804500229,3603838348,State,CO,,CO000A0000080450022900062,FRV,CAANSPS CAAPSD CAASIP CAATVP,New Source Performance Standards Prevention of Significant Deterioration of Air Quality State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000329,FACIL,09-07-2023,,,06-09-2023,01-08-2024
CT0000000900900001,3603607971,State,CT,,CT000A100712,FRV,CAANSR CAASIP,New Source Review Permit Requirements State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000243,VOLATILE ORGANIC COMPOUNDS (VOCS),05-23-2023,,,,
CT0000000900900009,3603655841,State,CT,,CT000A101554,FRV,CAANSR,New Source Review Permit Requirements,300000243,VOLATILE ORGANIC COMPOUNDS (VOCS),03-22-2023,,,,
FL0000001205700008,3603644004,State,FL,,FL000A0000120570000800666,FRV,CAAMACT,MACT Standards (40 CFR Part 63),300000004,Fluoride,06-26-2023,,07-18-2023,06-29-2023,
FL0000001205700008,3603717179,State,FL,,FL000A0000120570000800668,FRV,CAATVP,Title V Permits,10461,Sulfur dioxide,08-16-2023,,10-10-2023,08-16-2023,
FL0000001210500059,3603657361,State,FL,,FL000A0000121050005959796,FRV,CAAPSD CAASIP CAATVP,Prevention of Significant Deterioration of Air Quality State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,7003,Particulate matter,07-17-2023,,01-16-2024,07-17-2023,
FL0000001205700320,3603815352,State,FL,,FL000A0000120570032000108,FRV,CAATVP,Title V Permits,300000329,FACIL,12-08-2023,,01-03-2024,12-08-2023,
GA0000001313900002,3603625121,State,GA,,GA000A0000131390000200254,FRV,CAASIP CAATVP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000236 300000322,TOTAL PARTICULATE MATTER VISIBLE EMISSIONS,04-28-2023,,07-03-2023,03-01-2023,04-28-2023
GA0000001327700012,3603693593,State,GA,,GA000A0000132770001200145,FRV,CAAMACT CAASIP CAATVP,MACT Standards (40 CFR Part 63) State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000242 300000243,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS) VOLATILE ORGANIC COMPOUNDS (VOCS),08-11-2023,,09-15-2023,05-25-2023,08-11-2023
GA0000001314900004,3603527083,State,GA,,GA000A0000131490000400158,FRV,CAAAR CAATVP,Acid Rain Deposition Control (CAA Title IV) Title V Permits,300000282,NITROGEN OXIDES,01-30-2023,,01-30-2023,11-21-2022,01-30-2023
IA0000001919300190,3603699695,State,IA,,IA000A102415,FRV,CAAPSD,Prevention of Significant Deterioration of Air Quality,10193,Carbon monoxide,08-30-2023,,07-26-2023,07-06-2023,07-26-2023
IA0000001919700005,3603721022,State,IA,,IA000A102834,FRV,CAAMACT CAAPSD CAATVP,MACT Standards (40 CFR Part 63) Prevention of Significant Deterioration of Air Quality Title V Permits,,,09-20-2023,,10-06-2023,09-05-2023,09-20-2023
IA0000001911100057,3603669833,State,IA,,IA000A101744,FRV,CAATVP,Title V Permits,,,08-01-2023,,07-18-2023,,08-01-2023
IA0000001913900025,3603704416,State,IA,,IA000A102540,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,7003 10373 200000481,Particulate Matter - PM2.5 Particulate matter Particulate matter - PM10,09-05-2023,,02-26-2024,06-19-2023,09-05-2023
IA0000001913900025,3603804468,State,IA,,IA000A105074,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,7003 10373 200000481,Particulate Matter - PM2.5 Particulate matter Particulate matter - PM10,12-05-2023,,04-10-2024,09-25-2023,12-05-2023
