Year,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.,Total Direct Emissions,Total Supplier Emissions,Total Emissions
2010,0.0,0.0,0.0,0.0,718055338.984,198833531.167,48594198.3,3196571655.3215857,0.0,0.0,0.0,0.0,0.0,3196571655.3215857,965483068.451,4162054723.772586
2011,0.0,0.0,0.0,0.0,715880788.5,211458323.669,49073895.4,3207582994.0028152,91190573.184,0.0,0.0,15667944.916,3920546.64,3318362058.7428155,976413007.569,4294775066.3118153
2012,131848.0,2150667951.0514684,0.0,320300952.9921981,709460499.1,234258732.538,50724922.9,3058075792.5988092,92539659.538,0.0,0.0,15412346.504,3236291.28,3169264089.9208093,3465544906.5816665,6634808996.502476
2013,232416.0,2320171559.814414,0.0,380188841.0608551,771874753.4930379,222789720.652,50186818.800000004,3073213896.2733316,97959461.74,0.0,0.0,15161468.6,3258297.84,3189593124.453332,3745444109.820307,6935037234.273639
2014,251770.0,2393313818.583632,0.0,482577379.62337583,792192365.615592,261878452.226,50144986.9,3084068793.216345,101951661.706,0.0,0.0,14771852.12,3220286.8248564,3204012593.8672013,3980358772.9486,7184371366.815801
2015,395064.0,2443765792.31669,0.0,480109942.7866066,765647021.5,288098453.291,45803220.0,2939443583.3242474,101748524.24,0.0,0.0,14558313.664,2472280.9695168,3058222702.1977644,4023819493.894296,7082042196.092061
2016,419508.0,2473988627.914001,0.0,520333073.9462943,752708095.8,305319771.0,38617393.6,2804144594.144347,86899861.5842,76012681.582,3183981.8953171,14020560.868,2930778.4499844,2987192458.523849,4091386470.2602954,7078578928.784144
2017,480008.5,2514783621.76643,0.0,564127639.1892017,742302610.2,320365312.1,40104302.9,2734722683.7021947,94528533.544,75890269.492,2699046.7776722,13375178.401999999,2468242.5912,2923683954.5090666,4182163494.6556315,7105847449.164699
2018,521186.0,2574929681.230183,0.0,567374573.6116943,813544537.8000001,358316164.7564916,38569467.04361083,2778824257.243005,111855490.25651619,80789187.77178898,3050837.5766811,12921312.508,2108942.4072000002,2989550027.763191,4353255610.441979,7342805638.205171
2019,362324.0,2514862566.6542444,0.0,634476578.6226242,822271797.0,400311623.3105796,38936467.05720551,2628047419.2241325,126854362.2845135,88460010.44534136,2859512.467265,12528407.366,2782836.4896,2861532548.2768526,4411221356.644653,7272753904.921506
2020,287106.0,2216554119.5360637,0.0,597699210.9014468,774572739.8,433277775.121148,27258770.503965855,2402676374.144924,98444816.02197458,86129291.54051493,3489281.1977916,12352544.616,2112963.438,2605205270.959205,4049649721.862624,6654854992.82183
2021,477040.1,2312388224.5539527,0.0,583829458.9435567,791173321.8,457977195.6482642,27054119.59081527,2523513274.791596,93778922.82679562,85420760.29009542,2641187.9794762,12098796.206,2068519.6716,2719521461.7655635,4172899360.636589,6892420822.402152
2022,468310.0,2449817695.775462,0.0,735266184.753952,826809540.2,464506322.8393304,28664041.973268725,2504278913.9816327,90892582.74808945,86108198.23040634,2098008.0614014002,11741441.44,1761900.5292,2696881044.99073,4505532095.542013,7202413140.532743
2023,351488.0,2453748124.998589,0.0,848019446.8939707,789742295.1,531947380.8290182,26838479.168428402,2382840418.283886,91400448.12956826,89517276.87561312,1531631.3670129,11395837.152,1926171.1092,2578611782.91728,4650647214.990006,7229258997.907287
