Year,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.
2010,3196571655.3215857,,,,,
2011,3207582994.0028152,91190573.184,,,15667944.916,3920546.64
2012,3058075792.5988092,92539659.538,,,15412346.504,3236291.28
2013,3073213896.2733316,97959461.74,,,15161468.6,3258297.84
2014,3084068793.216345,101951661.706,,,14771852.12,3220286.8248564
2015,2939443583.3242474,101748524.24,,,14558313.664,2472280.9695168
2016,2804144594.144347,86899861.5842,76012681.582,3183981.8953171,14020560.868,2930778.4499844
2017,2734722683.7021947,94528533.544,75890269.492,2699046.7776722,13375178.401999999,2468242.5912
2018,2778824257.243005,111855490.25651619,80789187.77178898,3050837.5766811,12921312.508,2108942.4072000002
2019,2628047419.2241325,126854362.2845135,88460010.44534136,2859512.467265,12528407.366,2782836.4896
2020,2402676374.144924,98444816.02197458,86129291.54051493,3489281.1977916,12352544.616,2112963.438
2021,2523513274.791596,93778922.82679562,85420760.29009542,2641187.9794762,12098796.206,2068519.6716
2022,2504278913.9816327,90892582.74808945,86108198.23040634,2098008.0614014002,11741441.44,1761900.5292
2023,2382840418.283886,91400448.12956826,89517276.87561312,1531631.3670129,11395837.152,1926171.1092
