DISTRICTID,Year,Total Emissions,Total Direct Emissions,Total Supplier Emissions,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Representative_Name,Representative_Last_Name,Representative_Party
0101,2010,18691010.654064998,15825638.554065,2865372.1,15825638.554065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195012.6,670359.5,0.0,Barry Moore,Moore,Republican
0101,2011,16467521.594,13940897.694,2526623.9,13940897.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1925174.7999999998,601449.1,0.0,Barry Moore,Moore,Republican
0101,2012,29433729.8141691,15138574.165275,14295155.6488941,15138574.165275,0.0,0.0,0.0,0.0,0.0,0.0,11540837.1488941,0.0,0.0,2228205.8000000003,526112.7,0.0,Barry Moore,Moore,Republican
0101,2013,30223569.9472806,15416161.041000001,14807408.906280601,15416161.041000001,0.0,0.0,0.0,0.0,0.0,0.0,12032719.5902806,0.0,0.0,2249194.716,525494.6,0.0,Barry Moore,Moore,Republican
0101,2014,31205186.1250646,15701179.763,15504006.362064598,15701179.763,0.0,0.0,0.0,0.0,0.0,0.0,12767338.4684646,0.0,0.0,2300522.4936,436145.4,0.0,Barry Moore,Moore,Republican
0101,2015,30132369.0238503,14893270.9978,15239098.0260503,14893270.9978,0.0,0.0,0.0,0.0,0.0,0.0,12145175.1260503,0.0,0.0,2683588.5999999996,410334.3,0.0,Barry Moore,Moore,Republican
0101,2016,30932903.0528888,15150967.086000001,15781935.9668888,15150967.086000001,0.0,0.0,0.0,0.0,0.0,0.0,12668067.1668888,0.0,0.0,2781396.8000000003,332472.0,0.0,Barry Moore,Moore,Republican
0101,2017,29252705.856073003,13816060.318,15436645.538073,13816060.318,0.0,0.0,0.0,0.0,0.0,0.0,12186432.938073,0.0,0.0,2971548.7,278663.9,0.0,Barry Moore,Moore,Republican
0101,2018,28602562.6056851,14321682.228,14280880.3776851,14321682.228,0.0,0.0,0.0,0.0,0.0,0.0,11317103.8776851,0.0,0.0,2755303.9,208472.6,0.0,Barry Moore,Moore,Republican
0101,2019,28081189.9859847,14306362.913999999,13774827.071984699,14306362.913999999,0.0,0.0,0.0,0.0,0.0,0.0,11002906.471984701,0.0,0.0,2660791.5999999996,111129.0,0.0,Barry Moore,Moore,Republican
0101,2020,26226623.5160649,13033852.7552,13192770.7608649,13033740.032,0.0,0.0,0.0,0.0,112.7232,0.0,10050889.9608649,0.0,0.0,2992975.1,148905.7,0.0,Barry Moore,Moore,Republican
0101,2021,30664137.9169112,13939522.5108,16724615.4061112,13939164.984,0.0,0.0,0.0,0.0,357.5268,0.0,10331506.0061112,0.0,0.0,2994776.4,3398333.0,0.0,Barry Moore,Moore,Republican
0101,2022,29547266.505869,13835281.2812,15711985.224669,13833444.878,0.0,0.0,0.0,0.0,1836.4032,0.0,11017693.624669,0.0,0.0,2886528.1,1807763.5,0.0,Barry Moore,Moore,Republican
0101,2023,28121539.9594621,11739249.5408,16382290.4186621,11737644.056,0.0,0.0,0.0,0.0,1605.4848,0.0,11825635.1186621,0.0,0.0,2828049.5,1728605.7999999998,0.0,Barry Moore,Moore,Republican
0102,2010,8288350.816000001,6189033.916,2099316.9,6189033.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075862.0,23454.9,0.0,Shomari Figures,Figures,Democrat
0102,2011,9525887.836000001,6725638.236,2800249.6,6693468.936,0.0,0.0,0.0,32169.3,0.0,0.0,0.0,0.0,0.0,2775751.8000000003,24497.8,0.0,Shomari Figures,Figures,Democrat
0102,2012,8636918.016,5678568.416,2958349.5999999996,5648851.416,0.0,0.0,0.0,29717.0,0.0,0.0,0.0,0.0,0.0,2922902.0999999996,35447.5,0.0,Shomari Figures,Figures,Democrat
0102,2013,8231876.1464,5274230.216,2957645.9304000004,5244486.666,0.0,0.0,0.0,29743.55,0.0,0.0,0.0,0.0,0.0,2900216.0304,57429.9,0.0,Shomari Figures,Figures,Democrat
0102,2014,8327565.686000001,5478872.614,2848693.072,5450489.414,0.0,0.0,0.0,28383.199999999997,0.0,0.0,0.0,0.0,0.0,2769748.372,78944.7,0.0,Shomari Figures,Figures,Democrat
0102,2015,9222849.981,5814648.881,3408201.0999999996,5788175.931,0.0,0.0,0.0,26472.95,0.0,0.0,0.0,0.0,0.0,3339494.0,68707.1,0.0,Shomari Figures,Figures,Democrat
0102,2016,9067625.521000002,5731743.021,3335882.5000000005,5707153.271000001,0.0,0.0,0.0,24589.75,0.0,0.0,0.0,0.0,0.0,3256569.7,79312.8,0.0,Shomari Figures,Figures,Democrat
0102,2017,7833440.035,4806876.735,3026563.3,4784122.585,0.0,0.0,0.0,22754.149999999998,0.0,0.0,0.0,0.0,0.0,2991407.5,35155.8,0.0,Shomari Figures,Figures,Democrat
0102,2018,8502789.465,5193233.065,3309556.4,5173901.015,0.0,0.0,0.0,19332.05,0.0,0.0,0.0,0.0,0.0,3288417.5,21138.9,0.0,Shomari Figures,Figures,Democrat
0102,2019,8066418.169,4821674.9690000005,3244743.1999999997,4804867.269,0.0,0.0,0.0,16807.7,0.0,0.0,0.0,0.0,0.0,3225813.6,18929.6,0.0,Shomari Figures,Figures,Democrat
0102,2020,7332446.392,3977810.492,3354635.9,3962185.792,0.0,0.0,0.0,15624.7,0.0,0.0,0.0,0.0,0.0,3354635.9,0.0,0.0,Shomari Figures,Figures,Democrat
0102,2021,7386566.78,3731589.1799999997,3654977.6,3717519.1799999997,0.0,0.0,0.0,14070.0,0.0,0.0,0.0,0.0,0.0,3654977.6,0.0,0.0,Shomari Figures,Figures,Democrat
0102,2022,7445379.694,3818689.594,3626690.1,3804517.844,0.0,0.0,0.0,14171.75,0.0,0.0,0.0,0.0,0.0,3626690.1,0.0,0.0,Shomari Figures,Figures,Democrat
0102,2023,8044804.146,4283164.4459999995,3761639.6999999997,4269157.296,0.0,0.0,0.0,14007.15,0.0,0.0,0.0,0.0,0.0,3761639.6999999997,0.0,0.0,Shomari Figures,Figures,Democrat
0103,2010,6198632.244446,6053219.6444459995,145412.6,6053219.6444459995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145412.6,0.0,0.0,Mike Rogers,Rogers,Republican
0103,2011,7457183.050000001,7318180.850000001,139002.2,7318180.850000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139002.2,0.0,0.0,Mike Rogers,Rogers,Republican
0103,2012,8058079.556875,7901449.756875,156629.8,7901449.756875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156629.8,0.0,0.0,Mike Rogers,Rogers,Republican
0103,2013,6696830.922,6534310.1219999995,162520.8,6534310.1219999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162520.8,0.0,0.0,Mike Rogers,Rogers,Republican
0103,2014,8855929.216,8662800.816,193128.4,8662800.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193128.4,0.0,0.0,Mike Rogers,Rogers,Republican
0103,2015,8194310.65,7977789.95,216520.7,7977789.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216520.7,0.0,0.0,Mike Rogers,Rogers,Republican
