STATE,COUNTYNAME_cleaned,County_FIPS,Year,Total Direct Emissions,Total Supplier Emissions,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply 
AL,Autauga,01001,2010,2982136.634,0.0,2982136.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2011,4491863.358,0.0,4491863.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2012,6447401.892,0.0,6447401.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2013,5530155.518,0.0,5530155.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2014,5388098.432,0.0,5388098.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2015,6531961.946,0.0,6531961.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2016,5999899.896,0.0,5999899.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2017,4796002.467999999,0.0,4796002.467999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2018,5084529.918,0.0,5084529.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2019,4809894.832,0.0,4809894.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2020,5008617.182,0.0,5008617.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2021,4707873.4459999995,0.0,4707873.4459999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2022,6078344.734,0.0,6078344.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga,01001,2023,5813957.188,0.0,5813957.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Baldwin,01003,2010,124264.25,55072.399999999994,124264.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55072.399999999994,0.0,0.0
AL,Baldwin,01003,2011,131056.75,55544.2,131056.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55544.2,0.0,0.0
AL,Baldwin,01003,2012,164110.75,51109.5,164110.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51109.5,0.0,0.0
AL,Baldwin,01003,2013,169046.0,53006.115999999995,169046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53006.115999999995,0.0,0.0
AL,Baldwin,01003,2014,169195.25,59347.5936,169195.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59347.5936,0.0,0.0
AL,Baldwin,01003,2015,201495.5,55888.5,201495.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55888.5,0.0,0.0
AL,Baldwin,01003,2016,217551.75,54796.100000000006,217551.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54796.100000000006,0.0,0.0
AL,Baldwin,01003,2017,218796.0,31112.0,218796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31112.0,0.0,0.0
AL,Baldwin,01003,2018,218334.5,34130.0,218334.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34130.0,0.0,0.0
AL,Baldwin,01003,2019,213270.25,36736.3,213270.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36736.3,0.0,0.0
AL,Baldwin,01003,2020,238635.0,35235.3,238635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35235.3,0.0,0.0
AL,Baldwin,01003,2021,257335.75,36662.9,257335.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36662.9,0.0,0.0
AL,Baldwin,01003,2022,265100.25,39174.7,265100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39174.7,0.0,0.0
AL,Baldwin,01003,2023,259617.75,40563.5,259617.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40563.5,0.0,0.0
AL,Barbour,01005,2010,55187.192,0.0,55187.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2011,56182.388,0.0,56182.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2012,53750.448,0.0,53750.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2013,57623.732,0.0,57623.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2014,53155.2,0.0,53155.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2015,42552.64,0.0,42552.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2016,27127.248,0.0,27127.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2017,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2018,19429.176,0.0,19429.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2019,19863.876,0.0,19863.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2020,8871.416,0.0,8871.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2021,13567.648,0.0,13567.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2022,18139.43,0.0,18139.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Barbour,01005,2023,6546.276,0.0,6546.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Bibb,01007,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2011,48802.824,0.0,48802.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2012,48334.424,0.0,48334.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2013,52441.056,0.0,52441.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2014,61054.422,0.0,61054.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2015,58345.426,0.0,58345.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2016,77055.124,0.0,77055.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2017,50910.32,0.0,50910.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2018,53570.574,0.0,53570.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2019,47811.42,0.0,47811.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2020,44765.078,0.0,44765.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2021,49086.32,0.0,49086.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2022,48414.574,0.0,48414.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Blount,01009,2023,46672.826,0.0,46672.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
