Direct Point Emitters,Facility Id,Facility Name,GHG Quantity Associated with CO2 Supply ,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Produced,Gathering & Boosting,LDC - Direct Emissions,Onshore Oil & Gas Prod.,SF6 from Elec. Equip.,Transmission Pipelines,Year,Parent Company,Parent Ownership %,Total Direct Emissions,Total Supplier Emissions
293290.944,1000001,PSE Ferndale Generating Station,,,,,,,,,,,,,2010,"Empeco IV, LLC and USPF II Ferndale Holdings, LLC; Diamond Generating Corporation; Tenaska Energy, Inc. and Tenaska Energy Holdings, LLC",74.33298; 14.00002; 11.667,293290.944,0.0
108094.104,1000002,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,108094.104,0.0
78408.2,1000003,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,78408.2,0.0
62346.096,1000004,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,62346.096,0.0
74196.872,1000005,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,74196.872,0.0
42819.16,1000006,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,42819.16,0.0
284.548,1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,,,,,,,,,,,,,2010,"Eagle Materials, Inc.",100.0,284.548,0.0
,1000008,"St. Lawrence Gas Co., Inc.",0.0,0.0,0.0,391676.1,0.0,0.0,0.0,,,,,,2010,"St.Lawrence Gas Co., Inc.",100.0,0.0,391676.1
93596.1,1000010,SANTA ROSA CENTRAL LANDFILL,,,,,,,,,,,,,2010,Santa Rosa County Board of County Commissioners,100.0,93596.1,0.0
,1000011,Central Hudson Gas and Electric Corporation,0.0,0.0,0.0,1074677.6,0.0,0.0,0.0,,,,,,2010,,,0.0,1074677.6
23936.256,1000015,TYSON FOODS INCORPORATED,,,,,,,,,,,,,2010,Tyson Foods Incorporated,100.0,23936.256,0.0
57417.554,1000016,TYSON FARMS INCORPORATED HARMONY,,,,,,,,,,,,,2010,"Tyson Foods, inc.",100.0,57417.554,0.0
128757.066,1000017,BASF CORPORATION,,,,,,,,,,,,,2010,BASF Corporation,100.0,128757.066,0.0
260266.97,1000019,WESTERN SUGAR COMPANY,,,,,,,,,,,,,2010,Western Sugar Cooperative,100.0,260266.97,0.0
62797.712,1000020,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,62797.712,0.0
96404.452,1000021,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,96404.452,0.0
30953.33,1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,,,,,,,,,,,,,2010,"International Specialty Products, Inc.",100.0,30953.33,0.0
114130.356,1000023,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,114130.356,0.0
73635.1,1000024,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,73635.1,0.0
596813.272,1000025,PLACID REFINING CO LLC - PORT ALLEN REFINERY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2010,Placid Refining Co LLC,100.0,596813.272,0.0
98427.474,1000026,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc,100.0,98427.474,0.0
27515.78,1000027,The Children\s Hospital of Philadelphia,,,,,,,,,,,,,2010,The Children's Hospital of Philadelphia,100.0,27515.78,0.0
84940.136,1000028,Ardagh Glass Inc.,,,,,,,,,,,,,2010,Saint-Gobain Containers Inc.,100.0,84940.136,0.0
95687.986,1000029,NUCOR STEEL SEATTLE INC,,,,,,,,,,,,,2010,Nucor Corporation,100.0,95687.986,0.0
319299.694,1000030,US MAGNESIUM LLC,,,,,,,,,,,,,2010,THE RENCO GROUP INC,100.0,319299.694,0.0
83462.401875,1000031,Northwest Regional Landfill,,,,,,,,,,,,,2010,"Waste Management, Inc.",100.0,83462.401875,0.0
306360.59,1000032,KRATON POLYMERS U S LLC,,,,,,,,,,,,,2010,KRATON POLYMERS U.S. LLC,100.0,306360.59,0.0
71652.68,1000033,San Gabriel Cogeneration Facility,,,,,,,,,,,,,2010,Veresen U.S. Power Inc.,100.0,71652.68,0.0
141764.544,1000034,ADM MILLING COMPANY,,,,,,,,,,,,,2010,Archer Daniels Midland Company,100.0,141764.544,0.0
176925.57,1000035,ANDERSONS MARATHON ETHANOL LLC,,,,,,,,,,,,,2010,"The Andersons, Inc.",50.0,176925.57,0.0
228655.118,1000036,UNIVERSITY OF CINCINNATI,,,,,,,,,,,,,2010,University of Cincinnati,100.0,228655.118,0.0
26616.618,1000037,TYSON FRESH MEATS INC,,,,,,,,,,,,,2010,"Tyson Foods, Inc.",100.0,26616.618,0.0
22426.116,1000038,TYSON FRESH MEATS,,,,,,,,,,,,,2010,"Tyson Foods, Inc.",100.0,22426.116,0.0
170.0,1000039,Alstom Grid LLC,,,,,,,,,,,,,2010,Alstom Grid Inc,100.0,170.0,0.0
47883.192,1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",,,,,,,,,,,,,2010,"Tyson Foods, Inc.",100.0,47883.192,0.0
41408.144,1000041,WISCONSIN PAPERBOARD CORP,,,,,,,,,,,,,2010,The Newark Group Inc.,100.0,41408.144,0.0
1311281.1,1000043,PRAXAIR Texas City Hydrogen Complex,,,,,,,,,,,,,2010,"Praxair, Inc.",100.0,1311281.1,0.0
46411.876,1000045,TYSON POULTRY INC.-SEDALIA,,,,,,,,,,,,,2010,Tyson Foods Inc.,100.0,46411.876,0.0
42166.496,1000046,BADLANDS SANITARY LANDFILL,,,,,,,,,,,,,2010,County of Riverside,100.0,42166.496,0.0
101940.18,1000047,PENOBSCOT ENERGY RECOVERY CO.,,,,,,,,,,,,,2010,SET PERC Investment LLC,53.0,101940.18,0.0
3220.388,1000049,Lange,,,,,,,,,,,,,2010,Black Hills Corporation,100.0,3220.388,0.0
747510.792,1000050,Wygen I,,,,,,,,,,,,,2010,Black Hills Corporation; Municipal Energy Agency of Nebraska,76.5; 23.5,747510.792,0.0
3031064.116,1000052,Mesquite Generating Station,,,,,,,,,,,,,2010,Sempra Generation,100.0,3031064.116,0.0
93283.346,1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,,,,,,,,,,,,,2010,Texas Medical Center Central Heating and Cooling Services Corporation,100.0,93283.346,0.0
,1000054,City of Tallahassee Natural Gas Utility,0.0,0.0,0.0,155004.5,0.0,0.0,0.0,,,,,,2010,City of Tallahassee,100.0,0.0,155004.5
0.0,1000055,CALPINE NEWARK,,,,,,,,,,,,,2010,Calpine Corporation,100.0,0.0,0.0
170289.64,1000056,SPECIALTY MINERALS,,,,,,,,,,,,,2010,"Minerals Technologies, Inc.",100.0,170289.64,0.0
0.0,1000057,Tri-Center Naniwa Energy,,,,,,,,,,,,,2010,Morgan Stanley,100.0,0.0,0.0
2926.088,1000058,CalPeak Power - Vaca Dixon LLC,,,,,,,,,,,,,2010,Starwood Energy Group; Tyr Energy,80.0; 20.0,2926.088,0.0
1261583.776,1000059,Tenaska Kiamichi Generating Station,,,,,,,,,,,,,2010,"Tyr Energy, Inc. and Chubu Electric Power Co., Inc.; Tenaska Energy, Inc. and Tenaska Energy Holdings, LLC; Diamond Generating Corporation",35.0; 35.0; 30.0,1261583.776,0.0
9819.618,1000060,Limon Generating Station,,,,,,,,,,,,,2010,"Tri-State Generation and Transmission Association, Inc.",100.0,9819.618,0.0
28513.174,1000061,Frank Knutson Station,,,,,,,,,,,,,2010,"Tri-State Generation and Transmission Association, Inc.",100.0,28513.174,0.0
64560.928,1000062,MT JEWETT COMPLEX,,,,,,,,,,,,,2010,"TIN Inc., dba Temple-Inland",100.0,64560.928,0.0
179171.02,1000063,CHIEF ETHANOL FUELS INC,,,,,,,,,,,,,2010,"Chief Industries, Inc.",100.0,179171.02,0.0
64423.792,1000064,LONE STAR GAS LIQUIDS,0.0,0.0,319435.3,0.0,0.0,0.0,0.0,,,,,,2010,Plains LPG Services,100.0,64423.792,319435.3
7003.424,1000065,CalPeak Power - Border LLC,,,,,,,,,,,,,2010,Starwood Energy Group; Tyr Energy,80.0; 20.0,7003.424,0.0
67.434,1000066,"INGOMAR PACKING COMPANY, LLC",,,,,,,,,,,,,2010,"Ingomar Packing Company, LLC",100.0,67.434,0.0
8161.42,1000067,Cuyamaca Energy Facility,,,,,,,,,,,,,2010,Starwood Energy Group; Try Energy,80.0; 20.0,8161.42,0.0
688559.448,1000068,Apex Generating Station,,,,,,,,,,,,,2010,"LS Power Development, LLC",100.0,688559.448,0.0
118495.012,1000069,"Wallingford Energy, LLC",,,,,,,,,,,,,2010,"PPL Generation, LLC",100.0,118495.012,0.0
1287591.628,1000070,High Desert Power Project,,,,,,,,,,,,,2010,"Tenaska Power Fund, L.P.; TPF Genco Co-Investment Fund, L.P.",63.9; 36.1,1287591.628,0.0
27868.044,1000072,LOCKHEED MARTIN MISSILES & SPACE,,,,,,,,,,,,,2010,,,27868.044,0.0
,1000073,City of Corinth Gas & Water Department,0.0,0.0,0.0,60594.9,0.0,0.0,0.0,,,,,,2010,City of Corinth Gas & Water Department,100.0,0.0,60594.9
849.996,1000074,"Escondido Energy Center, LLC",,,,,,,,,,,,,2010,"Escondido Energy Center, LLC",100.0,849.996,0.0
