Effective State,Year,Total Emissions,Total Direct Emissions,Total Supplier Emissions,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply 
AK,2010,20151950.062,17544758.662,2607191.4,17544758.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2607191.4,0.0,0.0
AK,2011,22902015.186,20227318.286,2674696.9,18789803.038,1437515.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2674696.9,0.0,0.0
AK,2012,36929611.974321,20396143.286321,16533468.688000001,19033119.546321,1363023.74,0.0,0.0,0.0,0.0,0.0,13675285.788,0.0,0.0,2858182.9000000004,0.0,0.0
AK,2013,37693997.482,20250210.782,17443786.7,18783388.96,1466821.822,0.0,0.0,0.0,0.0,0.0,14753136.1,0.0,0.0,2690650.6,0.0,0.0
AK,2014,35247337.670912005,19580624.878,15666712.792912,18190225.851999998,1390399.026,0.0,0.0,0.0,0.0,0.0,13171919.692912001,0.0,0.0,2494793.1,0.0,0.0
AK,2015,35427526.49,19879134.68,15548391.809999999,18532505.338,1346629.342,0.0,0.0,0.0,0.0,0.0,12694759.71,0.0,0.0,2853632.1,0.0,0.0
AK,2016,34994466.984,20321383.084,14673083.9,15003771.362,1479123.168,3838488.554,0.0,0.0,0.0,0.0,11735701.100000001,0.0,0.0,2937382.8,0.0,0.0
AK,2017,35420221.0571,20840268.662,14579952.395100001,15195128.524,1503987.756,4141152.382,0.0,0.0,0.0,0.0,11537842.1951,0.0,0.0,3042110.1999999997,0.0,0.0
AK,2018,33719496.726100005,19762193.252,13957303.474100001,14230830.175999999,1875515.4239999999,3655847.652,0.0,0.0,0.0,0.0,11057379.6741,0.0,0.0,2899923.8000000003,0.0,0.0
AK,2019,33525749.806778602,19964751.042,13560998.764778601,14324145.772,1752807.45,3887797.8200000003,0.0,0.0,0.0,0.0,10795087.6647786,0.0,0.0,2765911.1,0.0,0.0
AK,2020,31630921.154,19484735.954,12146185.2,14263438.38,1744095.018,3477202.556,0.0,0.0,0.0,0.0,9194132.2,0.0,0.0,2952053.0,0.0,0.0
AK,2021,33854220.316,19376105.716000002,14478114.6,14240136.934,1649383.054,3486585.728,0.0,0.0,0.0,0.0,11429496.3,0.0,0.0,3048618.3000000003,0.0,0.0
AK,2022,33356991.1821,19631251.7852,13725739.3969,14359970.09,1630895.686,3639123.2539999997,0.0,0.0,1262.7552,0.0,10822557.4969,0.0,0.0,2903181.9,0.0,0.0
