Facility Id,Facility Name,FRS Id,City,State,Zip Code,Latest Reporting Year,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Is_Direct_Emitter,Is_Supplier,Basin,State where Emissions Occur,Does the facility employ continuous emissions monitoring? ,Parent Company,Parent Ownership %
1001607,A B Paterson,110001245162.0,NEW ORLEANS,LA,70126,2010,5400 DWYER RD,Orleans,30.0158,-90.0258,221112.0,D,Power Plants,True,False,,,,Entergy Corporation,100.0
1001221,AES Thames,110000316015.0,UNCASVILLE,CT,6382,2010,141 DEPOT ROAD,New London,41.4282,-72.1005,221112.0,C,Power Plants,True,False,,,,AES Corporation,100.0
1008008,"AES Western Power, LLC",110001867551.0,PASADENA,TX,77506,2010,901 LIGHT COMAPNY ROAD,Harris,29.7239,-95.2258,221112.0,D,Power Plants,True,False,,,,The AES Corporation,100.0
1002122,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",110038091356.0,MARTINEZ,CA,94553,2010,,CONTRA COSTA,38.026667,-122.067222,325120.0,P,Chemicals,True,False,,,,"Air Products and Chemicals, Inc.",100.0
1003010,AIR PRODUCTS CHEMICALS INC,110043813246.0,GEISMAR,LA,70734,2010,36637 HWY 30,ASCENSION,30.20578,-90.99383,325120.0,P,Chemicals,True,False,,,,"Air Products and Chemicals, Inc.",100.0
1005862,ALLEGANY BALLISTICS LABORATORY,,KEYSER,WV,26726,2010,210 STATE ROUTE 956,MINERAL,39.3972662,-78.9966888,336415.0,C,Other,True,False,,,,Alliant Techsystems Operations LLC,100.0
1001786,Amazon-Congo Compressor Station,,Gillette,WY,82716,2010,,Johnson,44.169,-106.1393,211111.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,Anadarko Petroleum Corporation,100.0
1007371,BPXA SEAWATER TREATMENT PLANT,110010681707.0,Prudhoe Bay,AK,99734,2010,,NORTH SLOPE BOROUGH,70.412133,-148.531186,211111.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,ExxonMobil Corporation,36.4
1007363,Berry Petroleum - Ethel D,110043804568.0,Maricopa,CA,93252,2010,Kerto Road,,34.7797056,-119.2785638,211111.0,C,Petroleum and Natural Gas Systems,True,False,,,,Berry Petroleum Company,100.0
1004979,Berry Petroleum - North Midway,110043808948.0,Fellows,CA,93224,2010,25072 Highway 33,KERN,35.242408,-119.590252,211111.0,C,Petroleum and Natural Gas Systems,True,False,,,,Berry Petroleum Company,100.0
1004981,Berry Petroleum - Poso,110043806833.0,Bakersfield,CA,93308,2010,4401 Gretlein Road,KERN,35.554215,-119.058255,211111.0,C,Petroleum and Natural Gas Systems,True,False,,,,Berry Petroleum Company,100.0
1000126,Boardman Power Holdings LLC,110012160972.0,BOARDMAN,OR,97818,2010,79585 Rippee Road,Morrow,45.8464,-119.6536,221112.0,D,Power Plants,True,False,,,,Boardman Power Holdings LLC,100.0
1000617,CALPINE MONTEREY COGEN,110001168780.0,WATSONVILLE,CA,95076,2010,831 WALKER STREET  ,SANTA CRUZ COUNTY,36.91192,-121.76775,221112.0,C,Power Plants,True,False,,,,Calpine Corporation,100.0
1000055,CALPINE NEWARK,110008054185.0,NEWARK,NJ,7105,2010,35 BLANCHARD ST.,ESSEX,40.7364,-74.1286,221112.0,D,Power Plants,True,False,,,,Calpine Corporation,100.0
1004719,CHENA POWER PLANT,110070081899.0,FAIRBANKS,AK,99701,2010,1200 1ST AVE,FAIRBANKS NORTH STAR BOROUGH,64.84689,-147.73334,221330.0,C (Abbr),Power Plants,True,False,,,,"Aurora Energy, LLC",100.0
1005267,CHUGACH - BELUGA RIVER POWER PLANT,110070081913.0,ANCHORAGE,AK,99519,2010,"40 MILES WEST OF ANCHORAGE IN BELUGA, AK",ANCHORAGE,61.13999,-149.11,221112.0,C,Power Plants,True,False,,,,"Chugach Electric Association, Inc.",100.0
1001461,Cameo,110070081790.0,PALISADE,CO,81526,2010,4 MI E OF PALISADE ON I 70,Mesa,39.1486,-108.3189,221112.0,"C,D",Power Plants,True,False,,,,"Xcel Energy, Inc.",100.0
1002631,Canyon Station MP-261,,Offshore,LA,0,2010,,,29.3308,-88.1019,213112.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,Williams Partners L.P.,100.0
1000760,Charles Poletti,110000323230.0,ASTORIA,NY,11105,2010,31-03 20TH AVENUE,Queens,40.7903,-73.9111,221112.0,D,Power Plants,True,False,,,,New York Power Authority,100.0
1004722,ConocoPhillips Alaska Inc - ALP,110056899281.0,Anchorage,AK,99510,2010,"ATO 1220, P.O. Box 100360",NORTH SLOPE,70.344758,-150.924178,211111.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,ConocoPhillips,77.35
1007265,DTE Stockton,110027254986.0,Stockton,CA,95203,2010,2526 W Washington St.,MADERA COUNTY,36.92327,-119.97549,325193.0,C,Other,True,False,,,,Pacific Ethanol Holding Co,80.0
1005829,"DYNO NOBEL, INC. - BATTLE MOUNTAIN PLANT",110000601091.0,BATTLE MOUNTAIN,NV,89820,2010,SIX MILES NORTH AND 2 MILES EAST OF BATTLE MOUNTAI,LANDER COUNTY,40.69,-116.868056,325188.0,"C,V",Chemicals,True,False,,,,"Dyno Nobel, Inc.",100.0
1000303,Darbytown Combustion Turbine,,RICHMOND,VA,23883,2010,6001 FERGUS BLVD,Henrico,37.4978,-77.368,221112.0,D,Power Plants,True,False,,,,DOMINION RESOURCES INC,100.0
1001932,Deer Gulch-Falcon Compressor Station,,Gillette,WY,82716,2010,,Johnson,44.3381,-106.1689,211111.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,Anadarko Petroleum Corporation,100.0
1001442,"Dynegy South Bay, LLC",110000754979.0,CHULA VISTA,CA,91911,2010,990 BAY BOULEVARD,San Diego,32.6131,-117.0964,221112.0,"C,D",Power Plants,True,False,,,,"Dynegy, Inc.",100.0
1007539,ECO SERVICES DOMINGUEZ,110070081974.0,CARSON,CA,90810,2010,20720 SOUTH WILMINGTON AVENUE,LOS ANGELES,33.843333,-118.232844,325188.0,C (Abbr),Chemicals,True,False,,,,Rhodia Inc.,100.0
1006471,Edgewater (2857),110001617698.0,LORAIN,OH,44052,2010,200 WEST OBERLIN AVE,Lorain,41.47,-82.1853,221112.0,C,Power Plants,True,False,,,,"FirstEnergy Generation, LLC",100.0
1006164,Essroc San Juan,110054620870.0,Dorado,PR,646,2010,"Road PR-2, Km 26.7",SAN JUAN,18.466224,-66.105724,212312.0,"C,H",Minerals,True,False,,,,ESSROC CEMENT CO,100.0
1002783,FLORIDA GAS TRANSMISSION COMPANY - FORT PIERCE,110007080942.0,FT PIERCE,FL,34945,2010,8701 ORANGE AVENUE,ST. LUCIE COUNTY,27.4475,-80.41374,486210.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,FLORIDA GAS TRANSMISSION COMPANY ,100.0
1003701,"FORT RILEY, ARMY",,FORT RILEY,KS,66442,2010,407 PERSHING CT.,GEARY,39.0924703,-96.7815237,928110.0,C (Abbr),Other,True,False,,,,U.S. Government,
1007675,Fletcher-Terhune Compressor Station,,Gillette,WY,82716,2010,,Johnson,43.620087,-106.070632,211111.0,C (Abbr),Petroleum and Natural Gas Systems,True,False,,,,Anadarko Petroleum Corporation,100.0
