,Unnamed: 0.1,Unnamed: 0,Facility Id,FRS Id,Facility Name,Address,City,State,Zip Code,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),Latest Reporting Year,Is_Direct_Emitter,Is_Supplier,Basin,State where Emissions Occur,Does the facility employ continuous emissions monitoring? ,Parent Company,Parent Ownership %,County_from_API,County_FIPS,2024_State_Legislative_Districts_Upper,2024_State_Legislative_Districts_Lower,Congressional_District,STATEFP
0,0,0,1000001,[110000490166.0],PSE Ferndale Generating Station,5105 LAKE TERRELL ROAD,FERNDALE,WA,98248,WHATCOM COUNTY,48.828707,-122.685533,221112.0,D,Power Plants,2023,True,False,,,,PUGET HOLDINGS LLC,100.0,Whatcom,53073,42,42,2,53
1,1,1,1000002,[110041175000.0],Ardagh Glass Inc. (Dunkirk),524 E. CENTER STREET,DUNKIRK,IN,47336,JAY COUNTY,40.371053,-85.198134,327213.0,"C,N",Minerals,2023,True,False,,,,ARDAGH GLASS INC,100.0,Jay,18075,19,33,3,18
2,2,2,1000003,[110001482887.0],Ardagh Glass Inc. (Henderson),620 Facet Road,Henderson,NC,27537,VANCE COUNTY,36.291066,-78.391883,327213.0,"C,N",Minerals,2023,True,False,,,,ARDAGH GLASS INC,100.0,Vance,37181,11,32,1,37
3,3,3,1000004,[110000833518.0],Ardagh Glass Inc. (Lincoln),1200 NORTH LOGAN STREET,LINCOLN,IL,62656,LOGAN COUNTY,40.157643,-89.353796,327213.0,"C,N",Minerals,2019,True,False,,,,ARDAGH GLASS INC,100.0,Logan,17107,44,87,15,17
4,4,4,1000005,[110000482022.0],Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,MADERA,CA,93637,MADERA COUNTY,36.92375,-120.10151,327213.0,"C,N",Minerals,2023,True,False,,,,ARDAGH GLASS INC,100.0,Madera,06039,14,27,13,06
5,5,5,1000006,"[110000834900.0, 110064076244.0]",Ardagh Glass Inc. (Milford),1 NATIONAL STREET,MILFORD,MA,1757,WORCESTER COUNTY,42.12915,-71.51805,327213.0,"C,N",Minerals,2018,True,False,,,,ARDAGH GROUP,100.0,Worcester,25027,Norfolk-Worcester-Middlesex,10th Worcester,4,25
6,6,6,1000007,[110007014774.0],AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,BERNALILLO,NM,87004,SANDOVAL COUNTY,35.330083,-106.5275,327420.0,C,Minerals,2023,True,False,,,,EAGLE MATERIALS INC,100.0,Sandoval,35043,009,065,1,35
7,7,7,1000008,"[110070081749.0, 110071159292.0]","St. Lawrence Gas Co., Inc.",33 Stearns Street,Massena,NY,13662,ST. LAWRENCE COUNTY,44.9293,-74.8756,221210.0,NN-LDC,,2023,False,True,,,,ST LAWRENCE GAS CO,100.0,St. Lawrence,36089,45,116,21,36
8,8,8,1000010,[110013945437.0],SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,MILTON,FL,32583,SANTA ROSA COUNTY,30.5804,-87.0621,562212.0,HH,Waste,2023,True,False,,,,SANTA ROSA BOARD OF COUNTY COMMISSIONERS,100.0,Santa Rosa,12113,1,3,1,12
9,9,9,1000011,[110000807379.0],Central Hudson Gas and Electric Corporation,284 South Avenue,Poughkeepsie,NY,12601,DUTCHESS COUNTY,41.690648,-73.931605,221122.0,"NN-LDC,W-LDC",,2023,False,True,,,,CENTRAL HUDSON GAS & ELECTRIC CORP,100.0,Dutchess,36027,39,104,18,36
