Effective State,total_supplier_emissions_roc,total_direct_emissions_roc
AK,22683.8468,-105673.0338
AL,488095.9931,-2577814.417
AR,271481.0062,-187169.7367
AZ,137537.8571,-1547557.387
CA,-4552062.197,-1277242.728
CO,-1218416.022,-1386152.567
CT,-771170.832,239128.2652
DC,0,3938.7326
DE,-601275.3571,-362694.6397
FL,-247877.5,-3572977.342
GA,56366.8857,-2890870.748
GU,0,21588.1717
HI,-724174.9908,-280018.745
IA,455644.2571,-394107.8946
ID,150191.3,156350.3594
IL,5935663.956,-5010485.508
IN,3146653.641,-4343298.016
KS,1176105.701,-1039266.764
KY,756997.3193,-3760346.914
LA,-5762897.731,858733.6299
MA,-24161.8,-775800.8375
MD,-81173.6286,-1157832.769
ME,-130079.9,-37726.7986
MI,438066.8596,-2185039.03
MN,1247430.113,-1112767.529
MO,14127.0286,-2233006.009
MP,0,0
MS,-1140617.007,58988.8489
MT,-200439.3295,-437631.3306
NC,1457494.429,-2635698.534
ND,56230.8071,-569821.0143
NE,63772.3286,-453911.689
NH,-1669.7714,-72322.0808
NJ,-4258324.893,-1317536.301
NM,-1102718.599,-1596707.028
NV,215890.3143,-257007.6937
NY,-3283583.516,-406596.8851
OH,4673515.53,-2184392.203
OK,-1832166.899,-2307232.225
OR,121179.9,237504.7324
PA,-5655771.047,-2369752.534
PR,0,-111150.0678
RI,-13434.2429,167863.5857
SC,6878.3857,-346137.1396
SD,2375.1143,103114.5757
TN,593724.0129,-1916831.752
TX,91788171.27,2411397.99
UT,1213911.327,-1159697.665
VA,-194432.7857,-2126339.785
VI,0,-46840.5006
VT,5304.0286,-23564.5804
WA,-3146325.267,253894.7238
WI,264110.3647,-1544498.558
WV,827332.1546,-3553137.19
WY,-749770.3078,-1206515.389
